"URD34MLC.Code.or.Value","URD34MLC.Value.Description","URD34MLC.Count","URD34MLC.Cumulative","URD34MLC.Skip.to.Item"
"0","At or above the detection limit",2477,2477,NA
"1","Below lower detection limit",15,2492,NA
".","Missing",113,2605,NA
