"AUXRR144.Code.or.Value","AUXRR144.Value.Description","AUXRR144.Count","AUXRR144.Cumulative","AUXRR144.Skip.to.Item"
"-7 to 47","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
