"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",2625,2625,NA
"1","Below lower detection limit",2,2627,NA
".","Missing",93,2720,NA
