"LBDBMNSI.Code.or.Value","LBDBMNSI.Value.Description","LBDBMNSI.Count","LBDBMNSI.Cumulative","LBDBMNSI.Skip.to.Item"
"31.85 to 999.54","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
