"MCQ160b.Code.or.Value","MCQ160b.Value.Description","MCQ160b.Count","MCQ160b.Cumulative","MCQ160b.Skip.to.Item"
"1","Yes",182,182,NA
"2","No",5579,5761,NA
"7","Refused",0,5761,NA
"9","Don't know",8,5769,NA
".","Missing",4001,9770,NA
