"MCQ240m.Code.or.Value","MCQ240m.Value.Description","MCQ240m.Count","MCQ240m.Cumulative","MCQ240m.Skip.to.Item"
"45 to 70","Range of Values",5,5,NA
"80","80 years or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9765,9770,NA
