"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"80.6 to 720.3","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
