"LBDBMNSI.Code.or.Value","LBDBMNSI.Value.Description","LBDBMNSI.Count","LBDBMNSI.Cumulative","LBDBMNSI.Skip.to.Item"
"29.3 to 1137.68","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
