"DR1IFDFE.Code.or.Value","DR1IFDFE.Value.Description","DR1IFDFE.Count","DR1IFDFE.Cumulative","DR1IFDFE.Skip.to.Item"
"0 to 3196","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
