"AUDTYR77.Code.or.Value","AUDTYR77.Value.Description","AUDTYR77.Count","AUDTYR77.Cumulative","AUDTYR77.Skip.to.Item"
"0 to 0.34","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
