"MCQ240V.Code.or.Value","MCQ240V.Value.Description","MCQ240V.Count","MCQ240V.Cumulative","MCQ240V.Skip.to.Item"
"43 to 81","Range of Values",6,6,NA
"85","85 years or older",0,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",10464,10470,NA
