"ORXH68.Code.or.Value","ORXH68.Value.Description","ORXH68.Count","ORXH68.Cumulative","ORXH68.Skip.to.Item"
"1","Positive",5,5,NA
"2","Negative",4719,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
