"LBDACRLC.Code.or.Value","LBDACRLC.Value.Description","LBDACRLC.Count","LBDACRLC.Cumulative","LBDACRLC.Skip.to.Item"
"0","detectable result",2275,2275,NA
"1","below detectable limit",0,2275,NA
".","Missing",330,2605,NA
