"DRD370IQ.Code.or.Value","DRD370IQ.Value.Description","DRD370IQ.Count","DRD370IQ.Cumulative","DRD370IQ.Skip.to.Item"
"1 to 20","Range of Values",121,121,NA
".","Missing",9217,9338,NA
