"OPDDSFS.Code.or.Value","OPDDSFS.Value.Description","OPDDSFS.Count","OPDDSFS.Cumulative","OPDDSFS.Skip.to.Item"
"0","No",3109,3109,NA
"1","Yes",5,3114,NA
".","Missing",749,3863,NA
