"BIXC083K.Code.or.Value","BIXC083K.Value.Description","BIXC083K.Count","BIXC083K.Cumulative","BIXC083K.Skip.to.Item"
"24.53 to 125.11","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
