"TYXP200.Code.or.Value","TYXP200.Value.Description","TYXP200.Count","TYXP200.Cumulative","TYXP200.Skip.to.Item"
"-299 to -12","Range of Values",845,845,NA
".","Missing",7624,8469,NA
