"DS1IFIBE.Code.or.Value","DS1IFIBE.Value.Description","DS1IFIBE.Count","DS1IFIBE.Cumulative","DS1IFIBE.Skip.to.Item"
"0.1 to 24","Range of Values",103,103,NA
".","Missing",5267,5370,NA
