"PAQ772c.Code.or.Value","PAQ772c.Value.Description","PAQ772c.Count","PAQ772c.Cumulative","PAQ772c.Skip.to.Item"
"3","Other (specify)",75,75,NA
".","Missing",9409,9484,NA
