"LBD209LC.Code.or.Value","LBD209LC.Value.Description","LBD209LC.Count","LBD209LC.Cumulative","LBD209LC.Skip.to.Item"
"0","At or above the detection limit",192,192,NA
"1","Below lower detection limit",73,265,NA
".","Missing",0,265,NA
