"GTDSCMMN.Code.or.Value","GTDSCMMN.Value.Description","GTDSCMMN.Count","GTDSCMMN.Cumulative","GTDSCMMN.Skip.to.Item"
"0 to 53","Range of Values",2409,2409,NA
".","Missing",500,2909,NA
