"OSD030aa.Code.or.Value","OSD030aa.Value.Description","OSD030aa.Count","OSD030aa.Cumulative","OSD030aa.Skip.to.Item"
"9 to 84","Range of Values",72,72,NA
"85","85 or older",5,77,NA
"77777","Refused",0,77,NA
"99999","Don't know",2,79,NA
".","Missing",4801,4880,NA
