"DXDSTFAT.Code.or.Value","DXDSTFAT.Value.Description","DXDSTFAT.Count","DXDSTFAT.Cumulative","DXDSTFAT.Skip.to.Item"
"2506.7 to 76324.7","Range of Values",4708,4708,NA
".","Missing",1072,5780,NA
