"MPQ100.Code.or.Value","MPQ100.Value.Description","MPQ100.Count","MPQ100.Cumulative","MPQ100.Skip.to.Item"
"1","Yes",1269,1269,NA
"2","No",3766,5035,NA
"7","Refused",0,5035,NA
"9","Don't know",5,5040,NA
".","Missing",1,5041,NA
