"SSMICHS.Code.or.Value","SSMICHS.Value.Description","SSMICHS.Count","SSMICHS.Cumulative","SSMICHS.Skip.to.Item"
"0 to 4","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
