"WBXF016.Code.or.Value","WBXF016.Value.Description","WBXF016.Count","WBXF016.Cumulative","WBXF016.Skip.to.Item"
"561.231 to 561.231","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
