"MGQ090.Code.or.Value","MGQ090.Value.Description","MGQ090.Count","MGQ090.Cumulative","MGQ090.Skip.to.Item"
"1","Yes",77,77,NA
"2","No",735,812,NA
"7","Refused",0,812,NA
"9","Don't know",0,812,NA
".","Missing",7009,7821,NA
