"URDMEPLC.Code.or.Value","URDMEPLC.Value.Description","URDMEPLC.Count","URDMEPLC.Cumulative","URDMEPLC.Skip.to.Item"
"0","At or above the detection limit",2604,2604,NA
"1","Below lower detection limit",0,2604,NA
".","Missing",114,2718,NA
