"CIQP40.Code.or.Value","CIQP40.Value.Description","CIQP40.Count","CIQP40.Cumulative","CIQP40.Skip.to.Item"
"0 to 15","Range of Values",31,31,NA
"900","900 +",0,31,NA
"7777","Refused",0,31,NA
"9999","Don't know",1,32,NA
".","Missing",896,928,NA
