"WTSPH10.Code.or.Value","WTSPH10.Value.Description","WTSPH10.Count","WTSPH10.Cumulative","WTSPH10.Skip.to.Item"
"0.0000000 to 789159.7512100","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
