"LBCBR4.Code.or.Value","LBCBR4.Value.Description","LBCBR4.Count","LBCBR4.Cumulative","LBCBR4.Skip.to.Item"
"0.7071 to 19.12","Range of Values",251,251,NA
".","Missing",0,251,NA
