"LBXTGN.Code.or.Value","LBXTGN.Value.Description","LBXTGN.Count","LBXTGN.Cumulative","LBXTGN.Skip.to.Item"
"0.07 to 416.13","Range of Values",2364,2364,NA
".","Missing",180,2544,NA
