"SSII4FO1.Code.or.Value","SSII4FO1.Value.Description","SSII4FO1.Count","SSII4FO1.Cumulative","SSII4FO1.Skip.to.Item"
"0 to 3.5","Range of Values",892,892,NA
".","Missing",54,946,NA
