"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.387 to 29","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
