"URDOP2LC.Code.or.Value","URDOP2LC.Value.Description","URDOP2LC.Count","URDOP2LC.Cumulative","URDOP2LC.Skip.to.Item"
"0","At or above the detection limit",2792,2792,NA
"1","Below lower detection limit",12,2804,NA
".","Missing",182,2986,NA
