"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.111 to 0.29","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
