"DXXL2BMC.Code.or.Value","DXXL2BMC.Value.Description","DXXL2BMC.Count","DXXL2BMC.Cumulative","DXXL2BMC.Skip.to.Item"
"5.37 to 38.53","Range of Values",1980,1980,NA
".","Missing",918,2898,NA
