"DXXPT41X.Code.or.Value","DXXPT41X.Value.Description","DXXPT41X.Count","DXXPT41X.Cumulative","DXXPT41X.Skip.to.Item"
"101.2 to 748.5","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
