"LBXTC.Code.or.Value","LBXTC.Value.Description","LBXTC.Count","LBXTC.Cumulative","LBXTC.Skip.to.Item"
"66 to 528","Range of Values",7846,7846,NA
".","Missing",745,8591,NA
