"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"790.46780496 to 358726.40791","Range of Values",133190,133190,NA
".","Missing",13750,146940,NA
