"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"111.4 to 293.3","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
