"DRQ340.Code.or.Value","DRQ340.Value.Description","DRQ340.Count","DRQ340.Cumulative","DRQ340.Skip.to.Item"
"1","Yes",3333,3333,""
"2","No",5060,8393,"DRQ360"
"7","Refused",3,8396,"DRQ360"
"9","Don't know",26,8422,"DRQ360"
".","Missing",860,9282,""
