"DSQIPOTA.Code.or.Value","DSQIPOTA.Value.Description","DSQIPOTA.Count","DSQIPOTA.Cumulative","DSQIPOTA.Skip.to.Item"
"0.025 to 5952","Range of Values",1392,1392,NA
".","Missing",6893,8285,NA
