"WTSPP09.Code.or.Value","WTSPP09.Value.Description","WTSPP09.Count","WTSPP09.Cumulative","WTSPP09.Skip.to.Item"
"0 to 828875.70018","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
