"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.3 to 9870","Range of Values",7738,7738,NA
"0.2","Below Limit of Detection",1,7739,NA
".","Missing",243,7982,NA
