"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.564 to 0.289","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
