"AUDTYR43.Code.or.Value","AUDTYR43.Value.Description","AUDTYR43.Count","AUDTYR43.Cumulative","AUDTYR43.Skip.to.Item"
"0 to 2.72","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
