"WTSPH04.Code.or.Value","WTSPH04.Value.Description","WTSPH04.Count","WTSPH04.Cumulative","WTSPH04.Skip.to.Item"
"0.0000000 to 792866.4112900","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
