"DR1TS120.Code.or.Value","DR1TS120.Value.Description","DR1TS120.Count","DR1TS120.Cumulative","DR1TS120.Skip.to.Item"
"0 to 53.334","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
