"DR1IFA.Code.or.Value","DR1IFA.Value.Description","DR1IFA.Count","DR1IFA.Cumulative","DR1IFA.Skip.to.Item"
"0 to 2339","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
