"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2679.4548949 to 330066.87932","Range of Values",5989,5989,NA
".","Missing",33,6022,NA
