"OSD110g.Code.or.Value","OSD110g.Value.Description","OSD110g.Count","OSD110g.Cumulative","OSD110g.Skip.to.Item"
"22 to 30","Range of Values",2,2,NA
"85","85 or older",0,2,NA
"777","Refused",0,2,NA
"999","Don't know",0,2,NA
".","Missing",4977,4979,NA
