"AUXRR229.Code.or.Value","AUXRR229.Value.Description","AUXRR229.Count","AUXRR229.Cumulative","AUXRR229.Skip.to.Item"
"-29 to 57","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
