"LBX028LA.Code.or.Value","LBX028LA.Value.Description","LBX028LA.Count","LBX028LA.Cumulative","LBX028LA.Skip.to.Item"
"3.4 to 63.8","Range of Values",1849,1849,NA
".","Missing",425,2274,NA
