"LBDB12SI.Code.or.Value","LBDB12SI.Value.Description","LBDB12SI.Count","LBDB12SI.Cumulative","LBDB12SI.Skip.to.Item"
"34.69 to 148935.78","Range of Values",7524,7524,NA
".","Missing",1308,8832,NA
