"WTSHM39.Code.or.Value","WTSHM39.Value.Description","WTSHM39.Count","WTSHM39.Cumulative","WTSHM39.Skip.to.Item"
"0.0000000 to 761331.0659400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
