"CVDWDI.Code.or.Value","CVDWDI.Value.Description","CVDWDI.Count","CVDWDI.Cumulative","CVDWDI.Skip.to.Item"
"38 to 146","Range of Values",2978,2978,NA
".","Missing",2174,5152,NA
