"DXXPT16X.Code.or.Value","DXXPT16X.Value.Description","DXXPT16X.Count","DXXPT16X.Cumulative","DXXPT16X.Skip.to.Item"
"64.4 to 714.7","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
