"RFXT041.Code.or.Value","RFXT041.Value.Description","RFXT041.Count","RFXT041.Cumulative","RFXT041.Skip.to.Item"
"345 to 354","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
