"LBXBGE.Code.or.Value","LBXBGE.Value.Description","LBXBGE.Count","LBXBGE.Cumulative","LBXBGE.Skip.to.Item"
"0.11 to 0.66","Range of Values",5175,5175,NA
".","Missing",757,5932,NA
