"SMQ720.Code.or.Value","SMQ720.Value.Description","SMQ720.Count","SMQ720.Cumulative","SMQ720.Skip.to.Item"
"1 to 80","Range of Values",1342,1342,NA
"95","95 cigarettes or more",0,1342,NA
"777","Refused",0,1342,NA
"999","Don't know",1,1343,NA
".","Missing",5574,6917,NA
