"LBCTNALA.Code.or.Value","LBCTNALA.Value.Description","LBCTNALA.Count","LBCTNALA.Cumulative","LBCTNALA.Skip.to.Item"
"0.45 to 138","Range of Values",247,247,NA
".","Missing",0,247,NA
