"DSQTCAFF.Code.or.Value","DSQTCAFF.Value.Description","DSQTCAFF.Count","DSQTCAFF.Cumulative","DSQTCAFF.Skip.to.Item"
"5 to 300","Range of Values",6,6,NA
".","Missing",10143,10149,NA
