"AUXRR138.Code.or.Value","AUXRR138.Value.Description","AUXRR138.Count","AUXRR138.Cumulative","AUXRR138.Skip.to.Item"
"-33 to 38","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
